process_id;category_name;product_id;product_name;unit;amount;price;total;selling_time
1;سوائل;413;صابون سائل;كيلو;3.0;3.0;9.0;09:53:37
2;مساحيق عادية;128;اوكسي جيل الوان;كيس;2.0;1.5;3.0;11:06:16
3;مساحيق عادية;138;اوكسي 650 جرام;كيس;1.0;14.0;14.0;13:01:34
4;سوائل;412;كلور عادي;كيلو;1.0;1.0;1.0;13:01:44
5;سوائل;409;كلوروكس الوان سائل;كيلو;0.25;4.0;1.0;13:01:48
6;اخرى;827;سلك مواعين;كيلو;0.25;20.0;5.0;13:01:58
7;مبيدات;614;بودرة صراصير كيروكس;علبة;1.0;6.0;6.0;13:02:04
8;مساحيق اتوماتيك;221;ليدر اتوماتيك سايب;كيلو;1.0;15.0;15.0;13:16:47
9;اخرى;854;كلوروكس الوان ظرف كبير;كيس;1.0;5.0;5.0;13:16:55
10;مبيدات;614;بودرة صراصير كيروكس;علبة;1.0;6.0;6.0;14:15:12
11;سوائل;407;ديتول سائل;كيلو;0.375;4.0;1.5;14:15:36
12;سوائل;406;فنيك سائل;كيلو;0.25;7.0;1.75;14:15:44
13;سوائل;407;ديتول سائل;كيلو;0.5;4.0;2.0;16:38:24
14;سوائل;422;مزيل بقع;كيلو;2.0;5.0;10.0;16:38:33
15;مساحيق عادية;138;اوكسي 650 جرام;كيس;1.0;14.0;14.0;16:38:44
16;مساحيق عادية;128;اوكسي جيل الوان;كيس;1.0;1.5;1.5;16:38:51
17;مساحيق عادية;129;اوكسي جيل بلاك;كيس;1.0;1.5;1.5;16:38:56
18;ورقيات;517;حفاضات سيتي بيبي صغير;حفاضة;2.0;1.5;3.0;16:39:07
19;سوائل;422;مزيل بقع;كيلو;2.0;5.0;10.0;16:53:20
20;مساحيق اتوماتيك;221;ليدر اتوماتيك سايب;كيلو;2.0;15.0;30.0;17:20:34
21;سوائل;413;صابون سائل;كيلو;1.0;3.0;3.0;19:13:39
22;اخرى;824;صابون اسمر عباد ( قطعة );قطعة;4.0;1.5;6.0;19:13:47
23;ورقيات;538;شنطة سيتي بيبي صغير;شنطة;1.0;45.0;45.0;21:13:24
24;سوائل;403;بطاس;كيلو;0.25;22.0;5.5;21:13:33
25;سوائل;411;كلور خام;كيلو;0.5;3.0;1.5;21:13:46
26;مستحضرات;365;فازلين طبي;علبة;1.0;2.0;2.0;21:14:04
27;اخرى;819;كلوروكس ابيض زجاج 1 لتر;زجاجة;1.0;10.0;10.0;21:18:51
28;ورقيات;519;حفاضات سيتي بيبي كبير;حفاضة;3.0;1.5;4.5;21:47:56
29;مبيدات;609;بخور ناموس قرص;قرص;2.0;1.25;2.5;21:48:05
30;مستحضرات;341;شامبو سباركل اكياس;قطعة;1.0;0.5;0.5;21:48:17
31;سوائل;414;رغوة;كيلو;4.0;2.5;10.0;00:59:12
32;سوائل;412;كلور عادي;كيلو;2.0;1.0;2.0;00:59:16
33;سوائل;413;صابون سائل;كيلو;2.0;3.0;6.0;00:59:21
